airportCode,airportName,cityName,countryName,similar,url
MEX,Mexico City,Mexico City,Mexico,"['new-york-city', 'playa-del-carmen', 'oaxaca', 'medellin', 'san-francisco', 'guadalajara', 'bogota', 'cancun', 'tulum', 'los-angeles', 'paris', 'buenos-aires', 'los-angeles', 'medellin', 'san-francisco', 'bogota', 'new-york-city', 'lisbon', 'london', 'paris', 'amsterdam', 'barcelona', 'berlin', 'prague', 'budapest', 'chiang-mai', 'bangkok']",https://nomadlist.com/assets/img/cities/mexico-city-mexico-500px.jpg
MIA,Miami,Miami,USA,"['new-york-city', 'san-francisco', 'orlando', 'los-angeles', 'barcelona', 'medellin', 'paris', 'mexico-city', 'amsterdam', 'london', 'sao-paulo', 'boston', 'new-york-city', 'los-angeles', 'san-francisco', 'lisbon', 'london', 'paris', 'amsterdam', 'barcelona', 'berlin', 'prague', 'rome', 'budapest', 'tokyo', 'chiang-mai', 'bangkok']",https://nomadlist.com/assets/img/cities/miami-fl-united-states-500px.jpg
MIL,Milan - All Airports,Milan,Italy,"['venice', 'london', 'florence', 'lisbon', 'budapest', 'barcelona', 'paris', 'rome', 'zurich', 'sliema', 'turin', 'vienna', 'florence', 'rome', 'vienna', 'paris', 'prague', 'barcelona', 'budapest', 'amsterdam', 'berlin', 'london', 'lisbon', 'new-york-city', 'bangkok', 'san-francisco', 'kuala-lumpur']",https://nomadlist.com/assets/img/cities/milan-italy-500px.jpg
MLA,Malta International,Malta,Malta,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
MLE,Velana International,Male,Maldives,"['kuwait-city', 'singapore', 'rimini', 'riyadh', 'jakarta', 'bangkok', 'paris', 'manila', 'dubai', 'bari', 'cape-town', 'new-york-city', 'dubai', 'kuala-lumpur', 'bangkok', 'singapore', 'canggu', 'ubud', 'istanbul', 'budapest', 'tokyo', 'barcelona', 'paris', 'london', 'lisbon', 'new-york-city', 'los-angeles']",https://nomadlist.com/assets/img/cities/male-maldives-500px.jpg
MOW,Moscow - All Airports,Moscow,Russia,"['saint-petersburg', 'berlin', 'minsk', 'budapest', 'kiev', 'amsterdam', 'new-york-city', 'lisbon', 'bangkok', 'london', 'kharkiv', 'paris', 'saint-petersburg', 'minsk', 'kiev', 'riga', 'budapest', 'berlin', 'prague', 'vienna', 'amsterdam', 'paris', 'london', 'barcelona', 'porto', 'lisbon', 'bangkok']",https://nomadlist.com/assets/img/cities/moscow-russia-500px.jpg
MRS,Marseille,Marseille,France,"['nice', 'rome', 'barcelona', 'london', 'lyon', 'paris', 'florence', 'monaco', 'budapest', 'bogota', 'ko-lanta', 'porto', 'barcelona', 'rome', 'paris', 'madrid', 'london', 'amsterdam', 'prague', 'budapest', 'berlin', 'lisbon', 'chiang-mai', 'bangkok', 'ko-lanta', 'ho-chi-minh-city', 'ubud']",https://nomadlist.com/assets/img/cities/marseille-france-500px.jpg
MRU,Mauritius Sir S Ramgoolam Intl,Mauritius,Mauritius,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
MSY,New Orleans,New Orleans,USA,"['dallas', 'austin', 'new-york-city', 'chicago', 'houston', 'salt-lake-city', 'san-francisco', 'lafayette', 'boston', 'orlando', 'miami', 'las-vegas', 'austin', 'chicago', 'new-york-city', 'las-vegas', 'los-angeles', 'san-francisco', 'london', 'paris', 'amsterdam', 'barcelona', 'berlin', 'prague', 'budapest', 'tokyo', 'hong-kong']",https://nomadlist.com/assets/img/cities/new-orleans-la-united-states-500px.jpg
MUC,Munich,Munich,Germany,"['berlin', 'vienna', 'barcelona', 'prague', 'paris', 'salzburg', 'budapest', 'karlsruhe', 'hamburg', 'stockholm', 'lisbon', 'amsterdam', 'prague', 'vienna', 'berlin', 'budapest', 'amsterdam', 'paris', 'london', 'barcelona', 'lisbon', 'new-york-city', 'bangkok', 'tokyo', 'san-francisco', 'los-angeles', 'singapore']",https://nomadlist.com/assets/img/cities/munich-germany-500px.jpg
MXP,Milan - Malpensa,Milan,Italy,"['venice', 'london', 'florence', 'lisbon', 'budapest', 'barcelona', 'paris', 'rome', 'zurich', 'sliema', 'turin', 'vienna', 'florence', 'rome', 'vienna', 'paris', 'prague', 'barcelona', 'budapest', 'amsterdam', 'berlin', 'london', 'lisbon', 'new-york-city', 'bangkok', 'san-francisco', 'kuala-lumpur']",https://nomadlist.com/assets/img/cities/milan-italy-500px.jpg
NAP,Naples Capodichino,Naples,Italy,"['rome', 'london', 'paris', 'lisbon', 'split', 'milan', 'amalfi', 'istanbul', 'oslo', 'marrakesh', 'bristol', 'dublin', 'rome', 'budapest', 'vienna', 'barcelona', 'paris', 'berlin', 'amsterdam', 'london', 'lisbon', 'new-york-city', 'chiang-mai', 'bangkok', 'kuala-lumpur', 'singapore', 'san-francisco']",https://nomadlist.com/assets/img/cities/naples-italy-500px.jpg
NAS,Lynden Pindling International,Nassau,Bahamas,"['vancouver', 'amsterdam', 'boston', 'london', 'eindhoven', 'havana', 'new-york-city', 'mexico-city', 'las-palmas', 'seattle', 'budapest', 'barcelona', 'orlando', 'new-york-city', 'toronto', 'montreal', 'las-vegas', 'los-angeles', 'san-francisco', 'london', 'paris', 'brussels', 'amsterdam', 'barcelona', 'berlin', 'munich', 'rome']",https://nomadlist.com/assets/img/cities/nassau-the-bahamas-500px.jpg
NBO,Nairobi,Nairobi,Kenya,"['dar-es-salaam', 'london', 'kampala', 'vancouver', 'amsterdam', 'cape-town', 'geneva', 'atlanta', 'hong-kong', 'shanghai', 'mombasa', 'harare', 'cape-town', 'rome', 'barcelona', 'berlin', 'lisbon', 'paris', 'amsterdam', 'london', 'bangkok', 'kuala-lumpur', 'hong-kong', 'shanghai', 'tokyo', 'new-york-city', 'san-francisco']",https://nomadlist.com/assets/img/cities/nairobi-kenya-500px.jpg
NCE,Nice Cote D'Azur,Nice,France,"['monaco', 'paris', 'barcelona', 'amsterdam', 'berlin', 'florence', 'the-hague', 'rome', 'nottingham', 'london', 'cannes', 'marseille', 'rome', 'barcelona', 'paris', 'vienna', 'prague', 'amsterdam', 'budapest', 'london', 'berlin', 'lisbon', 'new-york-city', 'bangkok', 'hong-kong', 'san-francisco', 'singapore']",https://nomadlist.com/assets/img/cities/nice-france-500px.jpg
NCL,Newcastle,Newcastle,England,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
NRT,Tokyo Narita,Tokyo,Japan,"['kyoto', 'osaka', 'seoul', 'bangkok', 'taipei', 'hong-kong', 'los-angeles', 'singapore', 'san-francisco', 'new-york-city', 'amsterdam', 'chiang-mai', 'kyoto', 'osaka', 'seoul', 'hong-kong', 'chiang-mai', 'bangkok', 'singapore', 'kuala-lumpur', 'san-francisco', 'los-angeles', 'berlin', 'amsterdam', 'london', 'paris', 'new-york-city']",https://nomadlist.com/assets/img/cities/tokyo-japan-500px.jpg
NYC,New York - All Airports,New York,USA,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
OAK,Oakland,Oakland,USA,"['san-francisco', 'los-angeles', 'hong-kong', 'austin', 'seattle', 'medellin', 'ho-chi-minh-city', 'bellingham', 'barcelona', 'montanita', 'london', 'monterey', 'san-francisco', 'los-angeles', 'portland', 'new-york-city', 'dublin', 'tokyo', 'osaka', 'amsterdam', 'berlin', 'lisbon', 'barcelona', 'budapest', 'hong-kong', 'chiang-mai', 'bangkok']",https://nomadlist.com/assets/img/cities/oakland-ca-united-states-500px.jpg
OPO,Porto,Oporto,Portugal,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
ORD,Chicago,Chicago,USA,"['new-york-city', 'san-francisco', 'boston', 'los-angeles', 'seattle', 'austin', 'london', 'bangkok', 'detroit', 'las-vegas', 'miami', 'washington', 'washington', 'new-york-city', 'las-vegas', 'los-angeles', 'san-francisco', 'london', 'amsterdam', 'paris', 'barcelona', 'berlin', 'prague', 'buenos-aires', 'tokyo', 'hong-kong', 'bangkok']",https://nomadlist.com/assets/img/cities/chicago-il-united-states-500px.jpg
ORL,Orlando - All Airports,Orlando,USA,"['miami', 'new-york-city', 'los-angeles', 'san-francisco', 'london', 'fort-lauderdale', 'boston', 'medellin', 'denver', 'atlanta', 'vancouver', 'bangkok', 'miami', 'new-york-city', 'las-vegas', 'los-angeles', 'san-francisco', 'london', 'paris', 'amsterdam', 'barcelona', 'berlin', 'prague', 'budapest', 'tokyo', 'chiang-mai', 'bangkok']",https://nomadlist.com/assets/img/cities/orlando-fl-united-states-500px.jpg
ORY,Orly-Paris,Paris,France,"['london', 'amsterdam', 'barcelona', 'brussels', 'berlin', 'new-york-city', 'prague', 'milan', 'lisbon', 'budapest', 'lyon', 'bordeaux', 'london', 'amsterdam', 'barcelona', 'berlin', 'prague', 'budapest', 'lisbon', 'new-york-city', 'san-francisco', 'los-angeles', 'bangkok', 'hong-kong', 'kuala-lumpur', 'singapore', 'ubud']",https://nomadlist.com/assets/img/cities/paris-france-500px.jpg
OSL,Oslo Gardermoen,Oslo,Norway,"['copenhagen', 'stockholm', 'new-york-city', 'bergen', 'utrecht', 'arendal', 'amsterdam', 'tallinn', 'berlin', 'alesund', 'barcelona', 'budapest', 'stockholm', 'copenhagen', 'tallinn', 'helsinki', 'berlin', 'amsterdam', 'prague', 'london', 'budapest', 'barcelona', 'lisbon', 'new-york-city', 'tokyo', 'bangkok', 'singapore']",https://nomadlist.com/assets/img/cities/oslo-norway-500px.jpg
OTP,Bucharest Otopeni,Bucharest,Romania,"['brasov', 'london', 'budapest', 'berlin', 'sofia', 'belgrade', 'athens', 'lisbon', 'istanbul', 'barcelona', 'varna', 'amsterdam', 'sofia', 'istanbul', 'belgrade', 'budapest', 'vienna', 'prague', 'rome', 'berlin', 'amsterdam', 'paris', 'barcelona', 'london', 'lisbon', 'new-york-city', 'bangkok']",https://nomadlist.com/assets/img/cities/bucharest-romania-500px.jpg
PAR,Paris - All Airports,Paris,France,"['london', 'amsterdam', 'barcelona', 'brussels', 'berlin', 'new-york-city', 'prague', 'milan', 'lisbon', 'budapest', 'lyon', 'bordeaux', 'london', 'amsterdam', 'barcelona', 'berlin', 'prague', 'budapest', 'lisbon', 'new-york-city', 'san-francisco', 'los-angeles', 'bangkok', 'hong-kong', 'kuala-lumpur', 'singapore', 'ubud']",https://nomadlist.com/assets/img/cities/paris-france-500px.jpg
